1704251148.186187 client started (15223): version 3.3a, socket /private/tmp/tmux-502/default, protocol 8
1704251148.186278 on Darwin 23.2.0 Darwin Kernel Version 23.2.0: Wed Nov 15 21:59:33 PST 2023; root:xnu-10002.61.3~2/RELEASE_ARM64_T8112
1704251148.187126 using libevent 2.1.12-stable (select); utf8proc 2.9.0; ncurses 6.4
1704251148.192012 sending message 105 to peer 0x148008000 (55 bytes)
1704251148.192019 sending message 105 to peer 0x148008000 (42 bytes)
1704251148.192024 sending message 105 to peer 0x148008000 (22 bytes)
1704251148.192029 sending message 105 to peer 0x148008000 (37 bytes)
1704251148.192034 sending message 105 to peer 0x148008000 (30 bytes)
1704251148.192038 sending message 105 to peer 0x148008000 (34 bytes)
1704251148.192043 sending message 105 to peer 0x148008000 (60 bytes)
1704251148.192047 sending message 105 to peer 0x148008000 (26 bytes)
1704251148.192052 sending message 105 to peer 0x148008000 (61 bytes)
1704251148.192056 sending message 105 to peer 0x148008000 (15 bytes)
1704251148.192061 sending message 105 to peer 0x148008000 (19 bytes)
1704251148.192066 sending message 105 to peer 0x148008000 (27 bytes)
1704251148.192070 sending message 105 to peer 0x148008000 (8 bytes)
1704251148.192075 sending message 105 to peer 0x148008000 (18 bytes)
1704251148.192080 sending message 105 to peer 0x148008000 (32 bytes)
1704251148.192084 sending message 105 to peer 0x148008000 (96 bytes)
1704251148.192091 sending message 105 to peer 0x148008000 (54 bytes)
1704251148.192096 sending message 105 to peer 0x148008000 (233 bytes)
1704251148.192103 sending message 105 to peer 0x148008000 (57 bytes)
1704251148.192108 sending message 105 to peer 0x148008000 (16 bytes)
1704251148.192113 sending message 105 to peer 0x148008000 (30 bytes)
1704251148.192127 sending message 105 to peer 0x148008000 (66 bytes)
1704251148.192132 sending message 105 to peer 0x148008000 (32 bytes)
1704251148.192136 sending message 105 to peer 0x148008000 (11 bytes)
1704251148.192141 sending message 105 to peer 0x148008000 (38 bytes)
1704251148.192146 sending message 105 to peer 0x148008000 (74 bytes)
1704251148.192153 sending message 105 to peer 0x148008000 (1781 bytes)
1704251148.192169 sending message 105 to peer 0x148008000 (29 bytes)
1704251148.192174 sending message 105 to peer 0x148008000 (24 bytes)
1704251148.192179 sending message 105 to peer 0x148008000 (15 bytes)
1704251148.192183 sending message 105 to peer 0x148008000 (8 bytes)
1704251148.192188 sending message 105 to peer 0x148008000 (66 bytes)
1704251148.192193 sending message 105 to peer 0x148008000 (21 bytes)
1704251148.192197 sending message 105 to peer 0x148008000 (18 bytes)
1704251148.192202 sending message 105 to peer 0x148008000 (26 bytes)
1704251148.192206 sending message 105 to peer 0x148008000 (60 bytes)
1704251148.192211 sending message 105 to peer 0x148008000 (57 bytes)
1704251148.192216 sending message 105 to peer 0x148008000 (43 bytes)
1704251148.192220 sending message 105 to peer 0x148008000 (14 bytes)
1704251148.192225 sending message 105 to peer 0x148008000 (57 bytes)
1704251148.192229 sending message 105 to peer 0x148008000 (15 bytes)
1704251148.192234 sending message 105 to peer 0x148008000 (20 bytes)
1704251148.192239 sending message 105 to peer 0x148008000 (14 bytes)
1704251148.192243 sending message 105 to peer 0x148008000 (19 bytes)
1704251148.192248 sending message 105 to peer 0x148008000 (32 bytes)
1704251148.192252 sending message 105 to peer 0x148008000 (43 bytes)
1704251148.192257 sending message 105 to peer 0x148008000 (34 bytes)
1704251148.192262 sending message 105 to peer 0x148008000 (22 bytes)
1704251148.192266 sending message 105 to peer 0x148008000 (18 bytes)
1704251148.192271 sending message 105 to peer 0x148008000 (19 bytes)
1704251148.192275 sending message 105 to peer 0x148008000 (16 bytes)
1704251148.192280 sending message 105 to peer 0x148008000 (19 bytes)
1704251148.192284 sending message 105 to peer 0x148008000 (17 bytes)
1704251148.192289 sending message 105 to peer 0x148008000 (19 bytes)
1704251148.192293 sending message 105 to peer 0x148008000 (17 bytes)
1704251148.192298 sending message 105 to peer 0x148008000 (22 bytes)
1704251148.192302 sending message 105 to peer 0x148008000 (16 bytes)
1704251148.192307 sending message 105 to peer 0x148008000 (25 bytes)
1704251148.192311 sending message 106 to peer 0x148008000 (0 bytes)
1704251148.192367 sending message 200 to peer 0x148008000 (4 bytes)
1704251148.192374 client loop enter
1704251148.192677 peer 0x148008000 message 303
1704251148.192687 open write file 2 -
1704251148.192703 sending message 305 to peer 0x148008000 (8 bytes)
1704251148.192719 write check file 2
1704251148.192755 peer 0x148008000 message 304
1704251148.192761 write 58 to file 2
1704251148.192767 peer 0x148008000 message 203
1704251148.192772 file 2 58 bytes left
1704251148.192787 write check file 2
1704251148.192792 client loop exit
